页面定位的解释,页面的定位元素
首页模块的登录按钮,"/html/body/div/div[1]/div/div[2]/ul/li[1]/a"
登录模块的验证码登录,"/html/body/div[2]/div/div[1]/a[2]"
登录模块的账号密码登录,"/html/body/div[2]/div/div[1]/a[3]"
验证码登录模块的输入手机号码,"/html/body/div[2]/div/div[2]/div[2]/div[1]/input"
验证码登录模块的输入验证码,"/html/body/div[2]/div/div[2]/div[2]/div[2]/input"
验证码登录模块的登陆按钮,"/html/body/div[2]/div/div[2]/div[2]/input"
账号密码登录模块的输入手机号码,"/html/body/div[2]/div/div[2]/div[3]/div/div[1]/input"
账号密码登录模块的输入密码,"/html/body/div[2]/div/div[2]/div[3]/div/div[2]/input"
账号密码登录模块的验证码图片,"/html/body/div[2]/div/div[2]/div[3]/div/div[3]/div[2]/img"
账号密码登录模块的输入验证码,"/html/body/div[2]/div/div[2]/div[3]/div/div[3]/div[1]/input"
账号密码登录模块的登录按钮,"/html/body/div[2]/div/div[2]/div[3]/input"
首页右上角的账号名称,"/html/body/div[1]/div[1]/div/div[2]/ul/li[1]/a/span[1]"
安全退出按钮,"/html/body/div/div[1]/div/div[2]/ul/li[1]/ul/li[2]/a[5]"
登录模块登录弹窗的确定按钮,"/html/body/div[7]/div[3]/a"
登录模块登录弹窗中的内容,"/html/body/div[7]/div[2]"
请输入正确的手机号格验证码登录,"/html/body/div[2]/div/div[2]/div[2]/div[1]/p"
请输入正确的手机号格账号密码登录,"/html/body/div[2]/div/div[2]/div[3]/div/div[1]/p"
请输入正确的验证码格式,"/html/body/div[2]/div/div[2]/div[2]/div[2]/p"
密码不能小于6位且不能大于20位,"/html/body/div[2]/div/div[2]/div[3]/div/div[2]/p"
,
====================================================支付流程==============================================================,
,
登录之后的首页按钮,"/html/body/div/div[1]/div/div[1]/ul/li[1]/a"
全部商品分类,"/html/body/div/div[5]/div[3]/div/div[1]/div/div[1]/div[2]/div/div[{}]/div/div/a"
首页的特惠产品按钮,"/html/body/div[1]/div[5]/div[1]/div/div[1]/div/div[2]/ul/li[1]/a"
# 商品分类一级列表,"/html/body/div[3]/div/div/div[1]/div/div/div[1]/div[1]/ul"
# 商品分类二级列表,"/html/body/div[3]/div/div/div[1]/div/div/div[2]/div[1]/ul"
# 商品分类三级列表,"/html/body/div[3]/div/div/div[1]/div/div/div[3]/div[1]/ul"
商品分类一级,"/html/body/div[3]/div/div/div[1]/div/div/div[1]/div[1]/ul/a[1]"
商品分类二级,"/html/body/div[3]/div/div/div[1]/div/div/div[2]/div[1]/ul/a[1]"
商品分类三级,"/html/body/div[3]/div/div/div[1]/div/div/div[3]/div[1]/ul/a[1]"
产品翻页信息,"/html/body/div[3]/div/div/div[6]/div[1]"
点击产品,"/html/body/div[3]/div/div/div[4]/ul/li[{}]/div/a[2]/div/div"
产品名称,"/html/body/div[3]/div[1]/div[2]/div/div/div[2]/div/div/h3"
点击规格,"/html/body/div[3]/div[1]/div[2]/div/div/div[2]/div/div/div[3]/div[2]/ul/li[2]"
加入购物车按钮,"/html/body/div[3]/div[1]/div[2]/div/div/div[2]/div/div/div[4]/div[1]/a[2]"
立即购买按钮,"/html/body/div[3]/div[1]/div[2]/div/div/div[2]/div/div/div[4]/div[1]/a[1]"
加入购物车图标,"/html/body/div[1]/div[3]/div/div/div/div[1]/div[2]/div/a/img"
查看商品详情按钮,"/html/body/div[3]/div[2]/a[1]"
